iter	RMSEWithUncertainty
550	0.08185486201
551	0.08154960976
552	0.08122213152
553	0.08087347171
554	0.08054928269
555	0.08002233804
556	0.07966421768
557	0.07916348521
558	0.07901155171
559	0.07861037961
560	0.07849121684
561	0.07827307742
562	0.07748530567
563	0.07712912225
564	0.07668486697
565	0.07643973271
566	0.07623771838
567	0.07586814815
568	0.07538292916
569	0.07494471366
570	0.07468252486
571	0.0746027958
572	0.07424464359
573	0.07403523884
574	0.07355577629
575	0.07319786994
576	0.07293796623
577	0.0726062551
578	0.07245179072
579	0.07213618149
580	0.07187907286
581	0.07100109143
582	0.07030278011
583	0.06983468449
584	0.06969037779
585	0.06930379709
586	0.06905298255
587	0.0686786038
588	0.06835022236
589	0.06798302446
590	0.06783674261
591	0.0674497676
592	0.06705545526
593	0.06649904744
594	0.06628513212
595	0.06612514698
596	0.065974412
597	0.06551922126
598	0.06525229833
599	0.06467960495
600	0.06443645792
601	0.06411507256
602	0.06390241548
603	0.06320750445
604	0.06286145587
605	0.06276235892
606	0.06252776311
607	0.06214694041
608	0.06167375804
609	0.06131733977
610	0.06027928825
611	0.05994981542
612	0.05974108939
613	0.05954510493
614	0.05936445901
615	0.05916707746
616	0.05892973504
617	0.05851931027
618	0.0582239573
619	0.05799339071
620	0.05761222805
621	0.0571029047
622	0.05655565443
623	0.05601183143
624	0.05564778062
625	0.05522021924
626	0.05499454286
627	0.05460703352
628	0.05432142428
629	0.05387607594
630	0.05374465642
631	0.05324915346
632	0.05309393686
633	0.05281391948
634	0.0522964093
635	0.05205002377
636	0.05164977455
637	0.05114264636
638	0.05066453257
639	0.05034444325
640	0.0498959517
641	0.04967804048
642	0.04956433518
643	0.04872113897
644	0.04802799773
645	0.0476631237
646	0.04738861593
647	0.04708549702
648	0.04685317213
649	0.04653257242
650	0.04643385638
651	0.04615630822
652	0.04599599914
653	0.04569442072
654	0.04534417893
655	0.04523673535
656	0.04505426366
657	0.04474877918
658	0.04430527335
659	0.04402658593
660	0.04372251327
661	0.04337648437
662	0.04328243479
663	0.04296339205
664	0.04263072804
665	0.04220420123
666	0.04186277853
667	0.04139282809
668	0.04114924884
669	0.0408274164
670	0.04053600495
671	0.04028973921
672	0.04015672482
673	0.03999586708
674	0.03983754926
675	0.03964586972
676	0.03949908592
677	0.03941449698
678	0.03906625184
679	0.03882335696
680	0.03864171526
681	0.03836008637
682	0.03808373647
683	0.03791347378
684	0.03760733765
685	0.03747751746
686	0.03738106395
687	0.03710913174
688	0.03680511712
689	0.03656030496
690	0.03643223233
691	0.03628298699
692	0.03615254158
693	0.03596347155
694	0.03557610108
695	0.03526870957
696	0.03490453003
697	0.03476639843
698	0.03450281876
699	0.03415964069
700	0.03392115201
701	0.03360301166
702	0.03329749775
703	0.03302369083
704	0.03271822846
705	0.0324259692
706	0.03228218963
707	0.03214660509
708	0.03157217441
709	0.03132323816
710	0.03103883599
711	0.03043057626
712	0.0298940924
713	0.02942649255
714	0.02921751564
715	0.02890456452
716	0.02867881567
717	0.02832524402
718	0.02815346844
719	0.02802465713
720	0.02782773036
721	0.02765840519
722	0.02753563312
723	0.02686578862
724	0.02662577977
725	0.02642195461
726	0.02578648982
727	0.02562312321
728	0.02536753993
729	0.02511567831
730	0.02491726734
731	0.02475831757
732	0.02446682392
733	0.02425522497
734	0.02403001097
735	0.02379903783
736	0.02353719973
737	0.02325309545
738	0.02298136751
739	0.02279903834
740	0.02250956187
741	0.02227202521
742	0.02173693959
743	0.02166710747
744	0.02151414537
745	0.02139725174
746	0.02097769955
747	0.02070694913
748	0.02048707573
749	0.02041519685
750	0.019957068
751	0.01958753235
752	0.01933048408
753	0.0190830703
754	0.01889406538
755	0.01869382063
756	0.01862202664
757	0.018395529
758	0.01813428468
759	0.01780633404
760	0.01767249426
761	0.01741903611
762	0.01720248109
763	0.01705850029
764	0.01681347257
765	0.01653334436
766	0.01639294714
767	0.01602352284
768	0.01566301959
769	0.01541424012
770	0.01534183779
771	0.01516059846
772	0.01487125652
773	0.01476993808
774	0.01456021635
775	0.01421747476
776	0.01386833553
777	0.01346921926
778	0.01300042169
779	0.01276604217
780	0.01227543729
781	0.01214152859
782	0.01199777497
783	0.01169939578
784	0.01145885698
785	0.01107645677
786	0.01072053908
787	0.01036841559
788	0.0102671447
789	0.01002096774
790	0.009752403119
791	0.009455667572
792	0.00913955542
793	0.008971904915
794	0.008599353474
795	0.008344519754
796	0.007970575499
797	0.007374327952
798	0.007227504813
799	0.007065023759
800	0.006846620737
801	0.006607677234
802	0.006495625391
803	0.006212919054
804	0.00589526739
805	0.005651921329
806	0.005545083621
807	0.005144838288
808	0.004872325254
809	0.004809522339
810	0.004719108879
811	0.004432467969
812	0.004229214233
813	0.003959892193
814	0.003774755091
815	0.003476670484
816	0.003329739759
817	0.003117191797
818	0.002926045884
819	0.00277389981
820	0.002572986926
821	0.002372142238
822	0.002273324858
823	0.002063223773
824	0.001849311087
825	0.00173765006
826	0.001564354237
827	0.0008394080527
828	0.0004816870344
829	0.0002488476322
830	-0.0001938098354
831	-0.0003489905447
832	-0.0006977820402
833	-0.0007751168522
834	-0.0008511142651
835	-0.001044836442
836	-0.001310361046
837	-0.001383028968
838	-0.001469720634
839	-0.001627392818
840	-0.001767829361
841	-0.001961574818
842	-0.002290351823
843	-0.002484516021
844	-0.002589152605
845	-0.002856507232
846	-0.00320600043
847	-0.003409128994
848	-0.003507665561
849	-0.003660335277
850	-0.003721185367
851	-0.003969152091
852	-0.004061878647
853	-0.004121241133
854	-0.004402142917
855	-0.004676442378
856	-0.004932146524
857	-0.005227281012
858	-0.00532807765
859	-0.005626490137
860	-0.005991931042
861	-0.006110818164
862	-0.006201971653
863	-0.006428205673
864	-0.00649882801
865	-0.006583029652
866	-0.006858284771
867	-0.007024263838
868	-0.007363739768
869	-0.007506437307
870	-0.007668964678
871	-0.007805770014
872	-0.00795639879
873	-0.008132278953
874	-0.008574191568
875	-0.008757125766
876	-0.008915738523
877	-0.009267118419
878	-0.009788280944
879	-0.01011221307
880	-0.01023743649
881	-0.01046246702
882	-0.0106693895
883	-0.01102438494
884	-0.01112671064
885	-0.01148160674
886	-0.01156650653
887	-0.01165649867
888	-0.01180560849
889	-0.01195916673
890	-0.01204876681
891	-0.01214285925
892	-0.01227560734
893	-0.01288895246
894	-0.01303398501
895	-0.01328588084
896	-0.01361563904
897	-0.01383212366
898	-0.01412365979
899	-0.01440861957
900	-0.01461986064
901	-0.01491199237
902	-0.01511283824
903	-0.01530163217
904	-0.01546074152
905	-0.01558281787
906	-0.01596539032
907	-0.01622135826
908	-0.01643763731
909	-0.01666218143
910	-0.01677196654
911	-0.01694864376
912	-0.01703585908
913	-0.01726032293
914	-0.01751610394
915	-0.01766937044
916	-0.01779248129
917	-0.01838535157
918	-0.01845162794
919	-0.01860856531
920	-0.01901916573
921	-0.01916891709
922	-0.01940688982
923	-0.01957619281
924	-0.01987634407
925	-0.02004696919
926	-0.0201678069
927	-0.02027432992
928	-0.02035285766
929	-0.02043410423
930	-0.02048482823
931	-0.02063056577
932	-0.02068628291
933	-0.02133394558
934	-0.02141727693
935	-0.02153255713
936	-0.02156527751
937	-0.02171493783
938	-0.02191631353
939	-0.02210060081
940	-0.02220673829
941	-0.02243110134
942	-0.02271732522
943	-0.02282823656
944	-0.0230441016
945	-0.02332850695
946	-0.0234518177
947	-0.02375038896
948	-0.02412427833
949	-0.02458116053
950	-0.02483024025
951	-0.02503381079
952	-0.02517789849
953	-0.02527538605
954	-0.02572614039
955	-0.0259593942
956	-0.02609320786
957	-0.0262678989
958	-0.02644560772
959	-0.02656600991
960	-0.02680485146
961	-0.02717309124
962	-0.02729751034
963	-0.02752259829
964	-0.02799619528
965	-0.02816839416
966	-0.02845710047
967	-0.02860523872
968	-0.02887996939
969	-0.02906945842
970	-0.02917794953
971	-0.02926155546
972	-0.02946616918
973	-0.02961164109
974	-0.02970128358
975	-0.0300459069
976	-0.03011178397
977	-0.03032998715
978	-0.03051583775
979	-0.03066184562
980	-0.03075075688
981	-0.03083964506
982	-0.03101644429
983	-0.03110092425
984	-0.03137125239
985	-0.03168331399
986	-0.03176251689
987	-0.03187826594
988	-0.03209171644
989	-0.03223205998
990	-0.03241286944
991	-0.0324842025
992	-0.03278433741
993	-0.03295545416
994	-0.03302761316
995	-0.03317600534
996	-0.0332283144
997	-0.03354200703
998	-0.03370656179
