title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Toyota Sequoia III,2024,0 km,"415,000 AED",https://auto.ae/dubai/sale/car/toyota/toyota-sequoia-iii-2024/id/203788/,Trim TRD Pro,White,Left-Hand Drive,"3.4 l, 437 hp, Hybrid",SUV 5 dr.,N/A
Audi Q5 II (FY),2018,"63,000 km","97,750 AED",https://auto.ae/dubai/sale/car/audi/audi-q5-ii-fy-2018/id/203782/,Trim other,Black,Left-Hand Drive,"2.0 l, 245 hp, Petrol",SUV 5 dr.,GCC Specs
BYD FangChengBao Leopard 5 I,2024,0 km,"235,000 AED",https://auto.ae/dubai/sale/car/byd/byd-fangchengbao-leopard-5-2024/id/203784/,Trim Discovery Edition,Light Blue,Left-Hand Drive,"1.5 l, 687 hp, Hybrid",SUV 5 dr.,N/A
BYD FangChengBao Leopard 5 I,2023,0 km,"200,000 AED",https://auto.ae/dubai/sale/car/byd/byd-fangchengbao-leopard-5-2023/id/203783/,Trim Discovery Edition,Golden,Left-Hand Drive,"1.5 l, 687 hp, Hybrid",SUV 5 dr.,N/A
BYD FangChengBao Leopard 5 I,2024,0 km,"199,000 AED",https://auto.ae/dubai/sale/car/byd/byd-fangchengbao-leopard-5-2024/id/203781/,Trim Discovery Edition,White,Left-Hand Drive,"1.5 l, 687 hp, Hybrid",SUV 5 dr.,N/A
Toyota Levin XII (E210) Facelift,2024,0 km,"66,000 AED",https://auto.ae/dubai/sale/car/toyota/toyota-levin-xii-e210-facelift-2024/id/203780/,Trim Leading,White,Left-Hand Drive,"1.8 l, 137 hp, Hybrid",Sedan,N/A
Audi R8 V10 plus II (4S),2016,"8,000 km","374,750 AED",https://auto.ae/dubai/sale/car/audi/audi-r8-ii-4s-2016/id/203777/,Trim V10 plus,Grey,Left-Hand Drive,"5.2 l, 610 hp, Petrol",Coupe,Japanese Specs
Toyota Corolla Sporty XII (E210),2024,0 km,"67,000 AED",https://auto.ae/dubai/sale/car/toyota/toyota-corolla-xii-e210-2024/id/203779/,N/A,White,Left-Hand Drive,"1.8 l, 98 hp, Hybrid",Sedan,N/A
BYD FangChengBao Leopard 5 I,2024,0 km,"199,000 AED",https://auto.ae/dubai/sale/car/byd/byd-fangchengbao-leopard-5-2024/id/203776/,Trim Discovery Edition,Black,Left-Hand Drive,"1.5 l, 687 hp, Hybrid",SUV 5 dr.,N/A
BYD FangChengBao Leopard 5 I,2024,0 km,"180,000 AED",https://auto.ae/dubai/sale/car/byd/byd-fangchengbao-leopard-5-2024/id/203773/,Trim Discovery Edition,Grey,Left-Hand Drive,"1.5 l, 687 hp, Hybrid",SUV 5 dr.,N/A
LiXiang L6,2024,0 km,"199,000 AED",https://auto.ae/dubai/sale/car/lixiang/lixiang-l6-2024/id/203769/,Trim Max,Black,Left-Hand Drive,"1.5 l, 408 hp, Hybrid",SUV 5 dr.,N/A
LiXiang L6,2024,0 km,"199,000 AED",https://auto.ae/dubai/sale/car/lixiang/lixiang-l6-2024/id/203768/,Trim Max,White,Left-Hand Drive,"1.5 l, 408 hp, Hybrid",SUV 5 dr.,N/A
GMC Sierra IV,2020,"71,000 km","139,750 AED",https://auto.ae/dubai/sale/car/gmc/gmc-sierra-iv-2020/id/203763/,Trim AT4,White,Left-Hand Drive,"6.2 l, 420 hp, Petrol",Pickup double cab Crew Cab,GCC Specs
BYD FangChengBao Leopard 5 I,2024,0 km,"190,000 AED",https://auto.ae/dubai/sale/car/byd/byd-fangchengbao-leopard-5-2024/id/203761/,Trim Discovery Edition,Black,Left-Hand Drive,"1.5 l, 687 hp, Hybrid",SUV 5 dr.,N/A
Ford Bronco VI,2021,"88,000 km","179,750 AED",https://auto.ae/dubai/sale/car/ford/ford-bronco-vi-2021/id/203748/,Trim Wildtrak,Grey,Left-Hand Drive,"2.7 l, 335 hp, Petrol",SUV 5 dr.,GCC Specs
Denza Z9,2024,0 km,"275,000 AED",https://auto.ae/dubai/sale/car/denza/denza-z9-2024/id/203758/,Trim Max,Green,Left-Hand Drive,"2.0 l, 870 hp, Hybrid",Sedan,N/A
BYD FangChengBao Leopard 8,2024,0 km,"225,000 AED",https://auto.ae/dubai/sale/car/byd/byd-fangchengbao-leopard-8-2024/id/203757/,Trim Smart and Brave Flagship 7 Seater,Black,Left-Hand Drive,"2.0 l, 748 hp, Hybrid",SUV 5 dr.,N/A
BYD FangChengBao Leopard 8,2025,0 km,"245,000 AED",https://auto.ae/dubai/sale/car/byd/byd-fangchengbao-leopard-8-2025/id/203755/,Trim Smart and Brave Flagship 7 Seater,Silver,Left-Hand Drive,"2.0 l, 748 hp, Hybrid",SUV 5 dr.,N/A
BYD FangChengBao Leopard 8,2024,0 km,"225,000 AED",https://auto.ae/dubai/sale/car/byd/byd-fangchengbao-leopard-8-2024/id/203754/,Trim Smart and Brave Flagship 7 Seater,Golden,Left-Hand Drive,"2.0 l, 748 hp, Hybrid",SUV 5 dr.,N/A
LiXiang L7 I Facelift,2025,0 km,"215,000 AED",https://auto.ae/dubai/sale/car/lixiang/lixiang-l7-i-facelift-2025/id/203742/,Trim Max(2024),White,Left-Hand Drive,"1.5 l, 449 hp, Hybrid",SUV 5 dr.,N/A
Mercedes-Benz CLS 450 III (C257) Facelift,2022,"45,000 km","229,750 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-cls-iii-c257-facelift-2022/id/203734/,Trim other,White,Left-Hand Drive,"3.0 l, 367 hp, Petrol",Sedan,GCC Specs
Land Rover Range Rover P525 IV Facelift,2018,"53,000 km","209,750 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-iv-facelift-2018/id/203716/,Trim Vogue SE,White,Left-Hand Drive,"5.0 l, 525 hp, Petrol",SUV 5 dr.,GCC Specs
Toyota Tundra III,2023,"38,000 km","199,750 AED",https://auto.ae/dubai/sale/car/toyota/toyota-tundra-iii-2023/id/203710/,Trim other,Silver,Left-Hand Drive,"3.4 l, 389 hp, Petrol",Pickup double cab CrewMax,American Specs
Polestar 2 I,2022,"63,000 km","119,750 AED",https://auto.ae/dubai/sale/car/polestar/polestar-2-2022/id/203705/,Trim other,Grey,Left-Hand Drive,"350 kWt, Electric",N/A,GCC Specs
