title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Toyota Hilux VIII Facelift,2024,0 km,"116,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-hilux-viii-facelift-2024/id/211396/,N/A,White,Left-Hand Drive,"2.4 l, 150 hp, Diesel",Pickup double cab,N/A
Toyota Hilux VIII Facelift,2024,0 km,"116,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-hilux-viii-facelift-2024/id/211395/,N/A,White,Left-Hand Drive,"2.4 l, 150 hp, Diesel",Pickup double cab,N/A
Toyota Hilux VIII Facelift,2024,0 km,"116,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-hilux-viii-facelift-2024/id/211394/,N/A,White,Left-Hand Drive,"2.4 l, 150 hp, Diesel",Pickup double cab,N/A
Toyota Hilux VIII Facelift,2025,0 km,"116,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-hilux-viii-facelift-2025/id/211393/,N/A,Black,Left-Hand Drive,"2.4 l, 150 hp, Diesel",Pickup double cab,N/A
Toyota Fortuner II Facelift,2024,0 km,"117,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-fortuner-ii-facelift-2024/id/211392/,N/A,Black,Left-Hand Drive,"2.4 l, 150 hp, Diesel",SUV 5 dr.,GCC Specs
Toyota HiAce H300,2024,0 km,"120,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-hiace-h300-2024/id/211390/,N/A,White,Left-Hand Drive,"3.5 l, 281 hp, Petrol",VAN,N/A
Toyota Fortuner II Facelift,2024,0 km,"117,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-fortuner-ii-facelift-2024/id/211391/,N/A,Black,Left-Hand Drive,"2.4 l, 150 hp, Diesel",SUV 5 dr.,GCC Specs
Toyota RAV4 V (XA50),2024,0 km,"120,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-rav4-v-xa50-2024/id/211389/,N/A,Black,Left-Hand Drive,"2.5 l, 205 hp, Petrol",SUV 5 dr.,N/A
Toyota HiAce H300,2024,0 km,"120,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-hiace-h300-2024/id/211388/,N/A,White,Left-Hand Drive,"3.5 l, 281 hp, Petrol",VAN,GCC Specs
Toyota RAV4 VI (XA60),2025,0 km,"123,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-rav4-vi-xa60-2025/id/211387/,N/A,Light Blue,Left-Hand Drive,"2.5 l, 320 hp, Hybrid",SUV 5 dr.,N/A
Toyota Fortuner II Facelift,2024,0 km,"123,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-fortuner-ii-facelift-2024/id/211386/,N/A,Grey,Left-Hand Drive,"2.4 l, 150 hp, Diesel",SUV 5 dr.,N/A
Toyota Fortuner II Facelift,2024,0 km,"123,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-fortuner-ii-facelift-2024/id/211385/,N/A,White,Left-Hand Drive,"2.4 l, 150 hp, Diesel",SUV 5 dr.,N/A
Toyota Fortuner II Facelift,2024,0 km,"123,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-fortuner-ii-facelift-2024/id/211383/,N/A,Bronze,Left-Hand Drive,"2.4 l, 150 hp, Diesel",SUV 5 dr.,N/A
Toyota Fortuner II Facelift,2024,0 km,"123,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-fortuner-ii-facelift-2024/id/211384/,N/A,Grey,Left-Hand Drive,"2.4 l, 150 hp, Diesel",SUV 5 dr.,N/A
Toyota Fortuner II Facelift,2025,0 km,"123,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-fortuner-ii-facelift-2025/id/211382/,N/A,Grey,Left-Hand Drive,"2.4 l, 150 hp, Diesel",SUV 5 dr.,N/A
Toyota RAV4 VI (XA60),2025,0 km,"123,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-rav4-vi-xa60-2025/id/211381/,N/A,Light Blue,Left-Hand Drive,"2.5 l, 320 hp, Hybrid",SUV 5 dr.,GCC Specs
Toyota Fortuner II Facelift,2024,0 km,"123,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-fortuner-ii-facelift-2024/id/211380/,N/A,White,Left-Hand Drive,"2.4 l, 150 hp, Diesel",SUV 5 dr.,N/A
