title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Volkswagen Tiguan II,2016,"168,000 km","27,500 AED",https://auto.ae/sharjah/sale/car/volkswagen/volkswagen-tiguan-ii-2016/id/219333/,N/A,Black,Left-Hand Drive,"2.0 l, 187 hp, Petrol",SUV 5 dr.,GCC Specs
Toyota Land Cruiser Prado 150 Series Facelift 1,2014,"72,484 km","79,999 AED",https://auto.ae/dubai/sale/car/toyota/toyota-land-cruiser-prado-150-series-facelift-1-2014/id/219332/,N/A,Brown,Left-Hand Drive,"4.0 l, 282 hp, Petrol",SUV 5 dr.,GCC Specs
BMW 7 Series 740Li VI (G11/G12),2017,"161,000 km","38,000 AED",https://auto.ae/sharjah/sale/car/bmw/bmw-7-series-vi-g11g12-2017/id/219330/,N/A,White,Left-Hand Drive,"3.0 l, 326 hp, Petrol",Sedan,GCC Specs
Toyota Rush II,2023,"75,127 km","49,999 AED",https://auto.ae/dubai/sale/car/toyota/toyota-rush-ii-2023/id/219331/,N/A,White,Left-Hand Drive,"1.5 l, 104 hp, Petrol",SUV 5 dr.,GCC Specs
Hyundai Creta II Facelift,2024,"62,000 km","59,000 AED",https://auto.ae/sharjah/sale/car/hyundai/hyundai-creta-ii-facelift-2024/id/219329/,N/A,Grey,Left-Hand Drive,"2.0 l, 159 hp, Petrol",SUV 5 dr. Grand,GCC Specs
Hyundai Sonata VII (LF),2016,"90,000 km","23,000 AED",https://auto.ae/sharjah/sale/car/hyundai/hyundai-sonata-vii-lf-2016/id/219328/,N/A,Silver,Left-Hand Drive,"2.0 l, 154 hp, Petrol",Sedan,GCC Specs
Nissan Urvan V (E26) / NV350 Urvan,2019,"89,739 km","48,999 AED",https://auto.ae/dubai/sale/car/nissan/nissan-urvan-v-e26-nv350-urvan-2019/id/219327/,Trim Standard,White,Left-Hand Drive,"2.5 l, 147 hp, Petrol",Mini Van,GCC Specs
Nissan Juke I Facelift,2016,"109,000 km","25,000 AED",https://auto.ae/sharjah/sale/car/nissan/nissan-juke-i-facelift-2016/id/219323/,N/A,White,Left-Hand Drive,"1.6 l, 190 hp, Petrol",SUV 5 dr.,GCC Specs
Lamborghini Huracán EVO I Facelift,2019,"15,000 km","899,000 AED",https://auto.ae/dubai/sale/car/lamborghini/lamborghini-huracán-i-facelift-2019/id/219324/,N/A,Blue,Left-Hand Drive,"5.2 l, 640 hp, Petrol",Coupe,N/A
Toyota Fortuner II Facelift,2022,"66,124 km","90,499 AED",https://auto.ae/dubai/sale/car/toyota/toyota-fortuner-ii-facelift-2022/id/219325/,N/A,White,Left-Hand Drive,"2.7 l, 166 hp, Petrol",SUV 5 dr.,GCC Specs
Toyota Fortuner II,2017,"80,555 km","76,499 AED",https://auto.ae/dubai/sale/car/toyota/toyota-fortuner-ii-2017/id/219322/,N/A,White,Left-Hand Drive,"2.7 l, 166 hp, Petrol",SUV 5 dr.,GCC Specs
Nissan Kicks I,2019,"169,000 km","32,000 AED",https://auto.ae/sharjah/sale/car/nissan/nissan-kicks-i-2019/id/219313/,N/A,Grey,Left-Hand Drive,"1.6 l, 125 hp, Petrol",SUV 5 dr.,GCC Specs
Lamborghini Revuelto,2025,40 km,"2,690,000 AED",https://auto.ae/dubai/sale/car/lamborghini/lamborghini-revuelto-2025/id/219321/,Trim Individual,Green,Left-Hand Drive,"6.5 l, 1015 hp, Hybrid",Coupe,N/A
Toyota Land Cruiser Prado 150 Series Facelift 3,2023,"79,873 km","134,999 AED",https://auto.ae/dubai/sale/car/toyota/toyota-land-cruiser-prado-150-series-facelift-3-2023/id/219320/,N/A,Silver,Left-Hand Drive,"4.0 l, 282 hp, Petrol",SUV 5 dr.,GCC Specs
