title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Chevrolet Groove I,2020,0 km,N/A,https://auto.ae/dubai/sale/car/chevrolet/chevrolet-groove-2020/id/205044/,N/A,Grey,Left-Hand Drive,"1.5 l, 110 hp, Petrol",SUV 5 dr.,N/A
Chevrolet Captiva II,2023,0 km,N/A,https://auto.ae/dubai/sale/car/chevrolet/chevrolet-captiva-ii-2023/id/205042/,N/A,White,Left-Hand Drive,"1.5 l, 147 hp, Petrol",SUV 5 dr.,N/A
Chevrolet Groove I,2020,0 km,N/A,https://auto.ae/dubai/sale/car/chevrolet/chevrolet-groove-2020/id/205043/,N/A,Silver,Left-Hand Drive,"1.5 l, 110 hp, Petrol",SUV 5 dr.,N/A
Chevrolet Captiva II,2025,0 km,N/A,https://auto.ae/dubai/sale/car/chevrolet/chevrolet-captiva-ii-2025/id/205039/,Trim LS,Beige,Left-Hand Drive,"1.5 l, 147 hp, Petrol",SUV 5 dr.,N/A
BYD Seagull (Libird 2) I,2024,0 km,N/A,https://auto.ae/dubai/sale/car/byd/byd-seagull-2024/id/205037/,Trim Fly,White,Left-Hand Drive,"55 kWt, Electric",Hatchback 5 dr.,Chinese Specs
Chevrolet Tahoe V Facelift,2025,24 km,N/A,https://auto.ae/dubai/sale/car/chevrolet/chevrolet-tahoe-v-facelift-2025/id/204913/,N/A,Black,Left-Hand Drive,"6.2 l, 426 hp, Petrol",SUV 5 dr.,N/A
Chevrolet Tahoe V Facelift,2025,25 km,N/A,https://auto.ae/dubai/sale/car/chevrolet/chevrolet-tahoe-v-facelift-2025/id/204912/,N/A,Black,Left-Hand Drive,"5.3 l, 360 hp, Petrol",SUV 5 dr.,N/A
Chevrolet Captiva II,2025,32 km,N/A,https://auto.ae/dubai/sale/car/chevrolet/chevrolet-captiva-ii-2025/id/204911/,Trim Premier 7 seats,Black,Left-Hand Drive,"1.5 l, 147 hp, Petrol",SUV 5 dr.,N/A
Chevrolet Captiva II,2025,45 km,N/A,https://auto.ae/dubai/sale/car/chevrolet/chevrolet-captiva-ii-2025/id/204910/,Trim Premier 7 seats,Silver,Left-Hand Drive,"1.5 l, 147 hp, Petrol",SUV 5 dr.,N/A
Chevrolet Captiva II,2024,41 km,N/A,https://auto.ae/dubai/sale/car/chevrolet/chevrolet-captiva-ii-2024/id/204909/,Trim Premier 7 seats,Silver,Left-Hand Drive,"1.5 l, 147 hp, Petrol",SUV 5 dr.,N/A
Chevrolet Captiva II,2024,46 km,N/A,https://auto.ae/dubai/sale/car/chevrolet/chevrolet-captiva-ii-2024/id/204908/,Trim Premier 7 seats,Black,Left-Hand Drive,"1.5 l, 147 hp, Petrol",SUV 5 dr.,N/A
Cadillac Escalade 600 V Facelift,2025,41 km,N/A,https://auto.ae/dubai/sale/car/cadillac/cadillac-escalade-v-facelift-2025/id/204876/,Trim Sport Platinum,Black,Left-Hand Drive,"6.2 l, 420 hp, Petrol",SUV 5 dr. ESV,N/A
Audi Q5 e-tron 40,2023,38 km,N/A,https://auto.ae/dubai/sale/car/audi/audi-q5-e-tron-2023/id/204832/,Trim 40 e-tron Shine,White,Left-Hand Drive,"150 kWt, Electric",SUV 5 dr.,N/A
MG 5 II Facelift,2025,38 km,N/A,https://auto.ae/dubai/sale/car/mg/mg-5-ii-facelift-2025/id/204731/,N/A,White,Left-Hand Drive,"1.5 l, 129 hp, Petrol",Sedan,N/A
Honda CR-V VI,2025,41 km,N/A,https://auto.ae/dubai/sale/car/honda/honda-cr-v-vi-2025/id/204715/,N/A,Black,Left-Hand Drive,"2.0 l, 204 hp, Hybrid",SUV 5 dr.,N/A
MG 5 II,2025,0 km,N/A,https://auto.ae/dubai/sale/car/mg/mg-5-ii-2025/id/204662/,N/A,White,Left-Hand Drive,"1.5 l, 129 hp, Petrol",N/A,N/A
Toyota Corolla Cross I,2020,0 km,N/A,https://auto.ae/dubai/sale/car/toyota/toyota-corolla-cross-i-2020/id/204659/,Trim Pioneer Edition (China),White,Left-Hand Drive,"2.0 l, 196 hp, Hybrid",SUV 5 dr.,N/A
Kia KX1,2018,0 km,N/A,https://auto.ae/dubai/sale/car/kia/kia-kx1-2018/id/204658/,N/A,White,Left-Hand Drive,"1.4 l, 100 hp, Petrol",SUV 5 dr.,N/A
Hyundai Elantra VII (CN7) Facelift,2025,0 km,N/A,https://auto.ae/dubai/sale/car/hyundai/hyundai-elantra-vii-cn7-facelift-2025/id/204656/,Trim GLX,White,Left-Hand Drive,"1.5 l, 115 hp, Petrol",Sedan,N/A
Hyundai Elantra VII (CN7),2025,0 km,N/A,https://auto.ae/dubai/sale/car/hyundai/hyundai-elantra-vii-cn7-2025/id/204655/,N/A,Black,Left-Hand Drive,"1.5 l, 115 hp, Petrol",Sedan,N/A
Nissan Armada II Facelift,2024,0 km,N/A,https://auto.ae/dubai/sale/car/nissan/nissan-armada-ii-facelift-2024/id/204653/,N/A,White,Left-Hand Drive,"5.6 l, 400 hp, Petrol",SUV 5 dr.,American Specs
GAC GS3,2024,0 km,N/A,https://auto.ae/dubai/sale/car/gac/gac-gs3-2024/id/204651/,N/A,Blue,Left-Hand Drive,"1.5 l, 170 hp, Petrol",SUV 5 dr.,N/A
Nissan Sylphy III (China Market) Facelift,2025,0 km,N/A,https://auto.ae/dubai/sale/car/nissan/nissan-sylphy-iii-china-market-facelift-2025/id/204648/,N/A,White,Left-Hand Drive,"1.6 l, 126 hp, Petrol",Sedan,N/A
Tank 300 I Facelift,2025,0 km,N/A,https://auto.ae/dubai/sale/car/tank/tank-300-i-facelift-2025/id/204647/,N/A,Silver,Left-Hand Drive,"2.0 l, 227 hp, Petrol",SUV 5 dr.,N/A
