title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Mercedes-Benz G-Class AMG 63 AMG II (W463),2021,"33,000 km",N/A,https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w463-2021/id/209164/,Trim AMG G 63,Black,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,Japanese Specs
Bentley Bentayga I Facelift,2023,590 km,N/A,https://auto.ae/dubai/sale/car/bentley/bentley-bentayga-i-facelift-2023/id/209162/,N/A,Black,Left-Hand Drive,"4.0 l, 550 hp, Petrol",SUV 5 dr.,GCC Specs
"Mercedes-Benz S-Class 400 VI (W222, C217)",2016,"7,400 km",N/A,https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-s-class-vi-w222-c217-2016/id/209160/,N/A,White,Left-Hand Drive,"3.5 l, 306 hp, Hybrid",Sedan,Japanese Specs
Suzuki Jimny IV,2024,0 km,N/A,https://auto.ae/dubai/sale/car/suzuki/suzuki-jimny-iv-2024/id/209154/,Trim GLX,Other Color,Left-Hand Drive,"1.5 l, 105 hp, Petrol",SUV 5 dr.,N/A
Mercedes-Benz G-Class AMG 63 AMG II (W463),2019,"39,850 km",N/A,https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w463-2019/id/209158/,Trim AMG G 63,White,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,Japanese Specs
Mercedes-Benz GLE AMG 43 AMG I (W166),2016,"53,620 km",N/A,https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-gle-amg-i-w166-2016/id/209157/,Trim GLE 43 4MATIC Special Edition,Black,Left-Hand Drive,"3.0 l, 390 hp, Petrol",SUV 5 dr.,Japanese Specs
Toyota Land Cruiser Prado 250 Series,2024,0 km,N/A,https://auto.ae/dubai/sale/car/toyota/toyota-land-cruiser-prado-250-series-2024/id/209156/,Trim First Edition,White,Left-Hand Drive,"2.8 l, 204 hp, Diesel",SUV 5 dr.,European Specs
Mercedes-Benz G-Class AMG 63 AMG II (W463),2023,"3,900 km",N/A,https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w463-2023/id/209155/,Trim AMG G 63,White,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,Japanese Specs
"Mercedes-Benz E-Class 300 IV (W212, S212, C207) Facelift",2015,"97,250 km",N/A,https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-e-class-iv-w212-s212-c207-facelift-2015/id/209153/,N/A,White,Left-Hand Drive,"3.5 l, 252 hp, Petrol",Sedan,Japanese Specs
Toyota Land Cruiser 70 Series Facelift 2,2024,0 km,N/A,https://auto.ae/dubai/sale/car/toyota/toyota-land-cruiser-70-series-facelift-2-2024/id/209152/,Trim other,White,Left-Hand Drive,"4.0 l, 228 hp, Petrol",Pickup double cab 79,European Specs
