model,overall_RMSE_log,overall_R2_log,overall_MAE_price,overall_RMSE_price,overall_R2_price,overall_MedAPE,overall_MAPE,budget_<200k_RMSE_log,budget_<200k_R2_log,budget_<200k_MAE_price,budget_<200k_RMSE_price,budget_<200k_R2_price,budget_<200k_MedAPE,budget_<200k_MAPE,budget_<200k_n,mid_200k-800k_RMSE_log,mid_200k-800k_R2_log,mid_200k-800k_MAE_price,mid_200k-800k_RMSE_price,mid_200k-800k_R2_price,mid_200k-800k_MedAPE,mid_200k-800k_MAPE,mid_200k-800k_n,luxury_>800k_RMSE_log,luxury_>800k_R2_log,luxury_>800k_MAE_price,luxury_>800k_RMSE_price,luxury_>800k_R2_price,luxury_>800k_MedAPE,luxury_>800k_MAPE,luxury_>800k_n
CatBoost_RMSE,0.20872394066822783,0.9691370883641433,41106.436738486715,378125.6371739267,0.7339122691529465,9.869090726188624,14.25240280869662,0.20280052188957207,0.9317242924300372,9574.187252811367,17442.277494453094,0.8798922705183971,10.162613873820778,14.642275493465304,10013,0.19708703299842273,0.7335808591630841,46369.588386397016,77163.57183288496,0.754062389963785,8.454072409431122,12.085813230248025,2359,0.3153711175435486,0.7221050474583328,518019.39171120187,1702189.9122761393,0.5930724767049,10.694191403579646,16.150499700161156,636
CatBoost_MAE,0.22343799048052937,0.9646323342172317,47265.843268230834,475884.9810242267,0.578539770234989,10.200058955645696,14.896710443325171,0.21127003806590758,0.925902442203621,10022.30410278161,18215.023253809606,0.8690142551367417,10.510597250374683,15.282496718647506,10013,0.2067209562817758,0.7068983042995594,47947.13642683166,76455.49541098112,0.758555277629613,8.773196803966254,12.576187572503764,2359,0.3998414788085401,0.5533035360795064,631090.3512910353,2145920.8216118724,0.3532619278892323,10.809666209763238,17.430099558836424,636
CatBoost_Huber,4.540263861457217,-13.603419139355312,2661375672.083115,13354884620.931065,-331919587.12072927,72.3472428619225,6217895.2540642,4.650403961581167,-34.90123866558714,2627886256.364199,13374988759.976686,-70623855926.29387,72.09686965173134,7862427.716958388,10013,4.246244204815617,-122.66854597552125,2627002854.736944,13221845756.313713,-7220786032.686811,75.05102260508133,842474.9147188351,2359,3.776163702945401,-38.84175416121912,3316116231.3804855,13528009672.103476,-25702113.294275478,67.38482755440303,264928.3194041603,636
CatBoost_Tweedie,0.26520623850289526,0.950173562618214,57736.006131715054,496011.0949154529,0.5421371741444655,14.393797082023399,19.429170785013284,0.2516958560966512,0.8948328260138633,13307.154274061548,23129.035768761085,0.7888069464152778,14.386480716169784,19.62775244214251,10013,0.2610117561225649,0.5327283230729417,68089.7837723754,99670.49983137476,0.5896697114367611,14.255446086044868,17.881838283773835,2359,0.43412909822522877,0.47340756374883974,718807.5976354363,2233087.3875675662,0.29965428197344235,15.410770623038928,22.041999774933014,636
LightGBM_RMSE,0.20462827875920658,0.9703364129513258,34995.440631862046,332876.70170874184,0.7937854040606582,8.729019974065967,13.483725946758845,0.1981097559880382,0.9348461926811137,8810.286760149998,16102.535900911435,0.8976346145049667,9.271858184657976,14.012413361757917,10013,0.18990904267068778,0.7526336565986936,42610.53349792103,77622.71564463078,0.751126893763867,7.071147041490837,11.105625143031519,2359,0.32364169235396856,0.7073383939952101,419001.6381891256,1496624.1882807612,0.6854232942038843,7.49269296137593,13.980884295197619,636
LightGBM_MAE,0.2284801556543115,0.9630180900982936,44313.630925780584,487354.3819242504,0.5579795597051336,9.227047797870632,14.122187622695531,0.2062897161763942,0.9293547071572956,9157.787158726363,16469.238956339414,0.8929191929231977,9.626274738259118,14.543827891629668,10013,0.2127198691436979,0.6896402205081367,44975.361091909115,72219.99003487655,0.7845655503472827,8.034217276561481,11.88136282527627,2359,0.4794637193613805,0.357684614894645,595342.6280603983,2198686.7673605653,0.3210656754856135,8.453000725913387,15.795492157718352,636
LightGBM_Huber,0.2042434728318681,0.9704478735121919,35535.54977607514,341607.1257038147,0.7828266929375312,8.794891672338522,13.402324930530332,0.1969176092667009,0.9356279734156548,8794.94065247282,15951.403822859429,0.8995471197897031,9.281954834914082,13.934332394862786,10013,0.189129863766607,0.7546593340621461,42081.52113367207,76458.21978269305,0.758538070314752,7.155470023720828,10.966067637445013,2359,0.33171616754824784,0.6925531109947709,432252.1735528972,1536575.0369128347,0.6684045313895977,7.85029702437755,14.062922751328141,636
LightGBM_Tweedie,0.2056040111643406,0.9700528477497942,36246.986236171055,350261.2144931044,0.7716838141375117,8.7537262798553,13.47320568023205,0.19789638748270574,0.9349864612323604,8836.479076277445,16055.786128852866,0.8982281373661025,9.285589600438065,13.971343721923812,10013,0.19217028889113785,0.7467078057044441,42733.77725934313,75128.82092629027,0.7668617944582687,7.368114400064024,11.176612380891605,2359,0.33325128915084634,0.6897009108383589,443729.7978216299,1576140.483006719,0.6511080988207252,7.722962348001292,14.149003450176204,636
XGBoost_RMSE,0.21603411802903602,0.9669373962112052,38290.903018538025,379157.6394057063,0.7324578432353198,9.268135091329732,14.507015323632455,0.21066120449254658,0.9263288924313654,9548.029720484294,17190.815844023276,0.8833304426760011,9.867216796622742,15.147713786058329,10013,0.19775205763817916,0.7317798861716377,43967.13293203537,77104.59572142755,0.7544381864875603,7.282938936001178,11.506536050657887,2359,0.33290195137604867,0.6903511251419363,469756.5696340597,1706928.7066070049,0.5908035993887398,8.53230148410075,15.54918026180345,636
XGBoost_MAE,0.23441114298641674,0.9610731851657052,43346.31803535376,423444.32128422655,0.6663084353332244,10.434580599263784,15.938220522930969,0.22537343433580317,0.9156794329532632,10553.65783049514,18262.53943854172,0.8683299781272444,11.00566621240234,16.61906534187725,10013,0.22222489033891415,0.6612847725612915,49162.96137834431,80782.71054288352,0.7304513595804539,8.416459849018093,12.935074070636423,2359,0.37551305596208046,0.606008450365819,538049.8478861944,1907312.4107174692,0.4890896393730375,9.172037944352878,16.35822572553121,636
