title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Bentley Continental GT Speed III,2019,"10,000 km","499,000 AED",https://auto.ae/dubai/sale/car/bentley/bentley-continental-gt-iii-2019/id/204048/,Trim Individual,Blue,Left-Hand Drive,"6.0 l, 659 hp, Petrol",Coupe,European Specs
Land Rover Range Rover P400 MHEV V,2025,1 km,"499,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-v-2025/id/204053/,Trim HSE,White,Left-Hand Drive,"3.0 l, 400 hp, Petrol",SUV 5 dr.,N/A
Voyah Free I Facelift,2025,0 km,"149,750 AED",https://auto.ae/dubai/sale/car/voyah/voyah-free-i-facelift-2025/id/204056/,Trim 318 Touring,White,Left-Hand Drive,"1.5 l, 272 hp, Hybrid",SUV 5 dr.,Chinese Specs
Land Rover Range Rover P530 MHEV V,2023,"20,000 km","599,999 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-v-2023/id/204059/,Trim SV,Light Blue,Left-Hand Drive,"4.4 l, 530 hp, Petrol",SUV 5 dr.,N/A
Lamborghini Huracán I Facelift,2020,"90,000 km","610,000 AED",https://auto.ae/dubai/sale/car/lamborghini/lamborghini-huracán-i-facelift-2020/id/204060/,N/A,Blue,Left-Hand Drive,"5.2 l, 610 hp, Petrol",N/A,GCC Specs
Land Rover Range Rover P530 MHEV V,2025,1 km,"750,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-v-2025/id/204061/,Trim Autobiography,Black,Left-Hand Drive,"4.4 l, 530 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover P530 MHEV V,2025,1 km,"750,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-v-2025/id/204062/,Trim Autobiography,Grey,Left-Hand Drive,"4.4 l, 530 hp, Petrol",SUV 5 dr.,GCC Specs
Rolls-Royce Dawn Black Badge,2018,"50,000 km","799,000 AED",https://auto.ae/dubai/sale/car/rolls-royce/rolls-royce-dawn-2018/id/204063/,Trim Individual,White,Left-Hand Drive,"6.6 l, 601 hp, Petrol",N/A,N/A
Mercedes-Benz G-Class AMG 63 AMG II (W465) Facelift,2025,1 km,"799,999 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w465-facelift-2025/id/204064/,Trim AMG G 63,Silver,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,Korean Specs
Mercedes-Benz G-Class AMG 63 AMG II (W465) Facelift,2025,1 km,"805,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w465-facelift-2025/id/204065/,Trim AMG G 63,White,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,Korean Specs
Mercedes-Benz G-Class AMG 63 AMG II (W465) Facelift,2025,1 km,"840,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w465-facelift-2025/id/204067/,Trim AMG G 63,Black,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,Korean Specs
Mercedes-Benz G-Class AMG 63 AMG II (W465) Facelift,2025,1 km,"840,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w465-facelift-2025/id/204068/,Trim AMG G 63,Black,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,Korean Specs
Mercedes-Benz G-Class AMG 63 AMG II (W465) Facelift,2025,1 km,"840,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w465-facelift-2025/id/204069/,Trim AMG G 63,Black,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,Korean Specs
Mercedes-Benz G-Class AMG 63 AMG II (W465) Facelift,2025,1 km,"840,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w465-facelift-2025/id/204071/,Trim AMG G 63,Green,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,Korean Specs
Mercedes-Benz G-Class AMG 63 AMG II (W465) Facelift,2025,1 km,"850,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w465-facelift-2025/id/204072/,Trim AMG G 63,Black,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,Korean Specs
Rolls-Royce Dawn,2019,"60,000 km","879,000 AED",https://auto.ae/dubai/sale/car/rolls-royce/rolls-royce-dawn-2019/id/204073/,Trim Individual,Brown,Left-Hand Drive,"6.6 l, 570 hp, Petrol",N/A,GCC Specs
Mercedes-Benz G-Class AMG 63 AMG II (W465) Facelift,2025,"4,900 km","899,000 AED",https://auto.ae/dubai/sale/car/mercedes-benz/mercedes-benz-g-class-amg-ii-w465-facelift-2025/id/204074/,Trim AMG G 63,Light Blue,Left-Hand Drive,"4.0 l, 585 hp, Petrol",SUV 5 dr.,European Specs
