brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,log_price,age_bucket
Renault,Master,137000,2.3T Panel Van (L2H2),3 door,Diesel,4,Van,2 Seater,Left Hand,GCC Specs,5,,2249.5,27400.0,10.463131911491967,4-6
Mercedes-Benz,S-Class,48000,S 500 4Matic,4 door,Petrol,6,Sedan,5 Seater,Left Hand,American Specs,4,449.5,3249.5,12000.0,12.644330802262578,4-6
Mercedes-Benz,G-Class,182000,G 63 AMG,5+ doors,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,13,549.5,4000.0,14000.0,12.128116509451258,10+
Ford,Edge,145000,Limited,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,13,349.5,3249.5,11153.846153846154,9.741027444837728,10+
Mercedes-Benz,AMG,45,Other,2 door,Petrol,8,Other,2 Seater,Left Hand,GCC Specs,1,549.5,3749.5,45.0,15.35237799261728,0-1
Nissan,Sentra,150000,SV,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,12,149.5,249.5,12500.0,9.90353755128617,10+
Jeep,Grand Cherokee,147000,Limited,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,11,349.5,2749.5,13363.636363636364,10.463131911491969,10+
BMW,X6,29012,xDrive40i M Sport,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,3,349.5,3249.5,9670.666666666666,12.53897064502647,2-3
Ford,F-Series,43600,Raptor,4 door,Petrol,6,Pick Up Truck,5 Seater,Left Hand,GCC Specs,3,449.5,3249.5,14533.333333333334,12.563750586299374,2-3
MG,GS,122000,Lux AWD,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,10,149.5,2249.5,12200.0,10.305647203635566,7-10
Toyota,Tundra,68000,Crewmax SR5,4 door,Petrol,8,Pick Up Truck,4 Seater,Left Hand,American Specs,6,549.5,3749.5,11333.333333333334,11.440365524765756,4-6
MG,MG5,173000,Comfort,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,3,149.5,,57666.666666666664,10.021315031649332,2-3
Audi,Q3,165000,2.0 TFSI quattro,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,12,149.5,1749.5,13750.0,10.12667110305036,10+
Ford,Figo,95000,Ambiente,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,9,149.5,1249.5,10555.555555555557,9.433563920090563,7-10
Hyundai,Sonata,25,Other,4 door,Petrol,4,Sedan,5 Seater,Left Hand,Other,1,149.5,1749.5,25.0,11.289794413577894,0-1
Rolls-Royce,Ghost,60000,Other,4 door,Petrol,12,Other,,Left Hand,GCC Specs,3,950.0,,20000.0,13.591117476312084,2-3
Dodge,Challenger,13000,R/T,2 door,Petrol,8,Sports Car,4 Seater,Left Hand,American Specs,5,349.5,4000.0,2600.0,11.362114203075018,4-6
Mercedes-Benz,G-Class,15636,G 63 AMG,4 door,Petrol,8,SUV,5 Seater,Left Hand,Japanese Specs,4,549.5,4000.0,3909.0,13.304684934198283,4-6
Rolls-Royce,Cullinan,24000,Other,5+ doors,Petrol,12,SUV,4 Seater,Left Hand,GCC Specs,6,549.5,4000.0,4000.0,14.11561589115508,4-6
Lexus,GS-Series,140000,F-sport,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,9,349.5,1749.5,15555.555555555557,11.082157933374816,7-10
Jaguar,S-Type,94500,R,4 door,Petrol,8,Sedan,6 Seater,Left Hand,GCC Specs,24,449.5,4000.0,3937.5,10.714439990727769,10+
Tesla,Model S,79175,Plaid,4 door,Electric,Unknown,Sedan,5 Seater,Left Hand,GCC Specs,3,,249.5,26391.666666666668,12.278397958261774,2-3
Dodge,Durango,36870,SXT,5+ doors,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,5,249.5,3749.5,7374.0,11.350418300109132,4-6
Tesla,Model 3,114000,Standard,4 door,Electric,,Sedan,5 Seater,Left Hand,GCC Specs,6,,,19000.0,11.264476926102367,4-6
Mitsubishi,Lancer EX,157000,Sport,4 door,Petrol,4,Sedan,4 Seater,Left Hand,GCC Specs,10,249.5,2249.5,15700.0,10.545367754151744,7-10
Mercedes-Benz,C-Class,130000,C63 S AMG,4 door,Petrol,8,Sedan,5 Seater,Left Hand,American Specs,9,549.5,4000.0,14444.444444444443,11.599112335481124,7-10
BMW,3-Series,35,325Li M Kit,4 door,Petrol,4,Sedan,5 Seater,Left Hand,Other,0,249.5,2249.5,35.0,11.931642378754141,0-1
Kia,Sorento,64316,DLX,4 door,Petrol,4,SUV,7 Seater,Left Hand,GCC Specs,3,249.5,2249.5,21438.666666666668,11.440365524765756,2-3
Nissan,Pathfinder,148000,SV,4 door,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,9,249.5,3749.5,16444.444444444445,10.5713425658087,7-10
Nissan,X-Trail,76000,S,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,7,149.5,2249.5,10857.142857142857,10.849356503939038,7-10
Hyundai,Elantra,122090,SE,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,5,149.5,1749.5,24418.0,10.463131911491967,4-6
Infiniti,G35,890000,Other,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,19,249.5,3749.5,46842.10526315789,9.210440366976517,10+
Lexus,IS-Series,146000,300,4 door,Petrol,6,Sedan,5 Seater,Left Hand,American Specs,9,249.5,3749.5,16222.222222222224,10.66897865021924,7-10
MG,GT,24063,Comfort,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,2,149.5,1749.5,12031.5,10.819798284210286,2-3
Audi,A7,197000,S-line,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,10,249.5,2749.5,19700.0,10.5713425658087,7-10
MINI,Cooper,95121,Cooper,2 door,Petrol,4,Coupe,5 Seater,Left Hand,GCC Specs,7,249.5,1749.5,13588.714285714286,10.545367754151744,7-10
Land Rover,Range Rover Sport,186751,HSE,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,6,349.5,3249.5,31125.166666666668,11.813037464800539,4-6
BMW,X6,52000,X6M Competition,4 door,Petrol,8,SUV,4 Seater,Left Hand,American Specs,5,549.5,4000.0,10400.0,12.25486757159303,4-6
Nissan,X-Trail,81000,S,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,4,149.5,2249.5,20250.0,10.915088464214609,4-6
Volkswagen,Tiguan,65000,SEL,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,6,149.5,2249.5,10833.333333333334,11.289781913656018,4-6
Mazda,CX-5,41683,GL,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,149.5,2749.5,20841.5,11.238488619268468,2-3
Toyota,Hiace,0,DLX,4 door,Petrol,6,Van,8+ Seater,Left Hand,GCC Specs,0,149.5,3749.5,0.0,11.842236406331555,0-1
Hyundai,Tucson,140000,Other,4 door,Diesel,4,SUV,,Left Hand,GCC Specs,16,149.5,,8750.0,9.952325334619427,10+
Ford,Edge,250000,Limited,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,12,249.5,3249.5,20833.333333333332,9.680406499268875,10+
Land Rover,Range Rover Evoque,156000,Dynamic,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,10,249.5,1749.5,15600.0,10.32551474894327,7-10
Nissan,Tiida,286500,SV,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,11,149.5,1749.5,26045.454545454544,9.680406499268875,10+
Toyota,Fortuner,81887,VXR,4 door,Petrol,6,SUV,,Left Hand,GCC Specs,4,249.5,3749.5,20471.75,11.719947764402807,4-6
Nissan,Patrol,0,XE,5+ doors,Petrol,6,SUV,8 Seater,Left Hand,GCC Specs,0,349.5,3749.5,0.0,12.384223015005313,0-1
Land Rover,Range Rover,120000,Vogue SE Supercharged,4 door,Petrol,8,SUV,5 Seater,Left Hand,American Specs,13,549.5,4000.0,9230.76923076923,11.225256725762891,10+
Lexus,NX-Series,22000,NX 300 Premier,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,American Specs,5,249.5,2249.5,4400.0,11.429554725537322,4-6
Lexus,ES-Series,176000,ES 350 Luxury,4 door,Petrol,6,Sedan,5 Seater,Left Hand,American Specs,11,249.5,3249.5,16000.0,10.404293143019792,10+
Nissan,Patrol,196000,LE Titanium,4 door,Petrol,8,SUV,8 Seater,Left Hand,GCC Specs,7,449.5,4000.0,28000.0,11.608244735642321,7-10
Mercedes-Benz,C-Class,79000,C280,2 door,Petrol,6,Coupe,5 Seater,Left Hand,American Specs,53,349.5,2749.5,1490.566037735849,11.225256725762891,10+
Porsche,Cayenne,230000,Turbo S,5+ doors,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,12,549.5,4000.0,19166.666666666668,10.691967639914864,10+
Nissan,Navara,110000,SE,4 door,Petrol,4,Pick Up Truck,5 Seater,Left Hand,GCC Specs,7,149.5,,15714.285714285714,10.757924157061597,7-10
Mercedes-Benz,A-Class,39633,A 200 AMG,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,3,149.5,1249.5,13211.0,11.79396804469059,2-3
Mercedes-Benz,G-Class,134000,G 63 AMG,5+ doors,Petrol,8,Wagon,5 Seater,Left Hand,GCC Specs,7,649.5,4000.0,19142.85714285714,12.868763195921677,7-10
Mercedes-Benz,GLC,35000,GLC 300,4 door,Petrol,4,SUV,5 Seater,Left Hand,American Specs,5,249.5,2749.5,7000.0,11.608244735642321,4-6
Ford,Mustang,68800,Ecoboost Premium,2 door,Petrol,4,Sports Car,4 Seater,Left Hand,American Specs,3,349.5,2249.5,22933.33333333333,11.089820688682371,2-3
Lexus,ES-Series,46000,ES 350 F SPORT,4 door,Petrol,6,Sedan,5 Seater,Left Hand,American Specs,5,349.5,3249.5,9200.0,11.561725152903833,4-6
Honda,ZR-V,200,EX,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,1,149.5,1249.5,200.0,11.51293546492023,0-1
Nissan,Altima,391000,S,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,13,,,30076.923076923078,9.514584532726943,10+
Bentley,Bentayga,79267,W12 Mulliner,5+ doors,Petrol,12,SUV,5 Seater,Left Hand,GCC Specs,7,649.5,4000.0,11323.857142857143,12.587589946944513,7-10
Honda,Accord,630000,i-VTEC,4 door,Petrol,4,Sedan,4 Seater,Left Hand,GCC Specs,13,149.5,,48461.53846153846,9.798182590890704,10+
BMW,X1,149000,sDrive20i,4 door,Petrol,4,Sedan,4 Seater,Left Hand,GCC Specs,5,249.5,2249.5,29800.0,11.050905878263567,4-6
Peugeot,2008,35000,Allure,4 door,Petrol,3,Crossover,5 Seater,Left Hand,GCC Specs,3,149.5,1249.5,11666.666666666666,10.819778284410283,2-3
Kia,Cerato,87000,Other,4 door,Petrol,4,Sedan,4 Seater,Left Hand,GCC Specs,4,249.5,1749.5,21750.0,10.691967639914864,4-6
BMW,X5,89000,X5M,4 door,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,3,549.5,4000.0,29666.666666666668,12.296831574998258,2-3
Land Rover,Range Rover,55000,Autobiography,4 door,Petrol,8,SUV,,Left Hand,GCC Specs,4,549.5,,13750.0,13.07107218827772,4-6
Volkswagen,Passat,166000,,,,,,,,,12,,,13833.333333333334,9.798182590890704,10+
Rolls-Royce,Phantom,31900,Standard,4 door,Petrol,12,Sedan,5 Seater,Left Hand,GCC Specs,4,549.5,4000.0,7975.0,14.217637433703022,4-6
Chevrolet,Silverado,60000,ZR2,4 door,Petrol,8,Pick Up Truck,5 Seater,Left Hand,GCC Specs,4,449.5,4000.0,15000.0,12.04355959836804,4-6
Nissan,Murano,246000,LE,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,16,249.5,3749.5,15375.0,9.210440366976515,10+
Mercedes-Benz,A-Class,52000,A 200 AMG,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,3,249.5,,17333.333333333332,11.736077016252437,2-3
Lexus,LX-Series,164161,LX 570 Signature,5+ doors,Petrol,8,SUV,7 Seater,Left Hand,GCC Specs,8,349.5,4000.0,20520.125,12.261980277468467,7-10
Mercedes-Benz,S-Class,122000,S 560,4 door,Petrol,8,Sedan,5 Seater,Left Hand,GCC Specs,8,549.5,4000.0,15250.0,12.07254696717504,7-10
Mercedes-Benz,C-Class,0,C200,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,0,249.5,1749.5,0.0,12.264346270624156,0-1
Land Rover,Range Rover Evoque,19,Dynamic,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,Other,2,249.5,2249.5,9.5,12.100712129872347,2-3
Lexus,NX-Series,0,NX 350H,4 door,Hybrid,4,SUV,5 Seater,Left Hand,GCC Specs,1,249.5,2749.5,0.0,12.206077645517674,0-1
Lexus,LS-Series,76000,Platinum LWB,4 door,Petrol,6,Sedan,5 Seater,Left Hand,American Specs,8,449.5,3749.5,9500.0,11.790564777297387,7-10
Mercedes-Benz,S-Class,107000,S 550,4 door,Petrol,8,Sedan,4 Seater,Left Hand,Japanese Specs,11,549.5,4000.0,9727.272727272728,11.49273296168228,10+
Toyota,Yaris,97000,MID,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,20,149.5,1249.5,4850.0,9.510519035757246,10+
Kia,Sportage,86000,EX,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,249.5,1249.5,10750.0,10.545367754151744,7-10
Hyundai,Sonata,189000,SEL,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,4,149.5,2249.5,47250.0,10.757924157061597,4-6
Toyota,Camry,167000,Hybrid,4 door,Hybrid,4,Sedan,5 Seater,Left Hand,American Specs,18,249.5,2249.5,9277.777777777777,9.680406499268875,10+
BMW,X1,162216,Sdrive18i,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,16,149.5,1749.5,10138.5,9.792611856190192,10+
Porsche,Cayenne,92000,Standard,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,7,349.5,2749.5,13142.857142857143,12.013706813470414,7-10
Nissan,Kicks,127000,S,4 door,Petrol,4,Other,4 Seater,Left Hand,American Specs,5,149.5,1749.5,25400.0,10.25769445336048,4-6
Rolls-Royce,Phantom,12471,Extended Wheel Base,5+ doors,Petrol,12,Sedan,5 Seater,Left Hand,GCC Specs,4,549.5,4000.0,3117.75,14.50865773852422,4-6
Mercedes-Benz,E-Class,145000,E 280,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,18,249.5,2749.5,8055.555555555556,9.680406499268875,10+
BMW,2-Series,111479,230i,2 door,Petrol,4,Coupe,4 Seater,Left Hand,GCC Specs,8,249.5,2249.5,13934.875,11.225256725762893,7-10
Nissan,Altima,7000,SV,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,2,249.5,2249.5,3500.0,10.87806606028079,2-3
Mercedes-Benz,S-Class,102000,S 550,4 door,Petrol,8,Sedan,5 Seater,Left Hand,American Specs,11,,4000.0,9272.727272727272,11.141876276228,10+
Lamborghini,Urus,53000,Pearl Capsule,5+ doors,Petrol,8,SUV,4 Seater,Left Hand,GCC Specs,4,649.5,4000.0,13250.0,13.591117476312084,4-6
Cadillac,Escalade,90000,Sport Platinum,5+ doors,Petrol,8,SUV,7 Seater,Left Hand,GCC Specs,3,449.5,4000.0,30000.0,12.560247968016562,2-3
Volkswagen,Tiguan,59784,R-line,4 door,Petrol,4,SUV,,Left Hand,GCC Specs,4,249.5,,14946.0,11.767575435251748,4-6
Audi,A5,166000,S-line,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,13,249.5,2749.5,12769.23076923077,10.12667110305036,10+
Nissan,Kicks,96000,SL,4 door,Petrol,4,Crossover,,Left Hand,GCC Specs,7,249.5,,13714.285714285714,10.275085591132715,7-10
BMW,X5,11212,M60iXDrive,5+ doors,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,1,549.5,4000.0,11212.0,13.036807667689546,0-1
Land Rover,Range Rover Evoque,339025,SE,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,10,349.5,3749.5,33902.5,11.141876276228,7-10
Mercedes-Benz,SLK-Class,172018,SLK 350,2 door,Petrol,6,Sports Car,2 Seater,Left Hand,Japanese Specs,20,249.5,3249.5,8600.9,9.952325334619427,10+
Lexus,RX-Series,9100,RX 350h Platinum,4 door,Hybrid,4,SUV,5 Seater,Left Hand,Other,3,249.5,,3033.3333333333335,12.095146671399466,2-3
Porsche,Carrera / 911,1418,GT3,2 door,Petrol,6,Coupe,2 Seater,Left Hand,GCC Specs,2,549.5,4000.0,709.0,13.7736473966179,2-3
Toyota,Corolla,88000,XLI,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,4,249.5,1749.5,22000.0,10.736418414365374,4-6
Ford,Edge,113915,Sport,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,9,349.5,2749.5,12657.222222222223,10.5815464756746,7-10
BMW,X6,56000,xDrive40i M Sport,5+ doors,Petrol,6,SUV,,Left Hand,GCC Specs,3,349.5,,18666.666666666668,12.464587201678082,2-3
Lamborghini,Huracan,1000,EVO Coupe,2 door,Petrol,10,Coupe,2 Seater,Left Hand,Other,4,649.5,4000.0,250.0,13.70903942580019,4-6
Jeep,Wrangler,172000,Sport S,2 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,8,549.5,3249.5,21500.0,10.896757843893464,7-10
Bentley,Bentayga,28109,Other,4 door,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,2,549.5,4000.0,14054.5,13.76316513133229,2-3
Kia,Seltos,26860,LX,4 door,Petrol,4,SUV,5 Seater,Left Hand,American Specs,2,149.5,1749.5,13430.0,10.933124826700707,2-3
Toyota,Rav 4,59049,XLE,4 door,Petrol,4,SUV,5 Seater,Left Hand,American Specs,6,249.5,2749.5,9841.5,10.950824090522445,4-6
Mercedes-Benz,AMG,242000,Other,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,16,349.5,2249.5,15125.0,9.433563920090563,10+
Lamborghini,Urus,0,SE,4 door,Hybrid,8,SUV,5 Seater,Left Hand,Japanese Specs,1,749.5,4000.0,0.0,14.169683073439028,0-1
Tesla,Cybertruck,450,Other,4 door,Electric,Unknown,Pick Up Truck,5 Seater,Left Hand,American Specs,2,449.5,,225.0,12.971542813248435,2-3
Land Rover,Defender,0,110 X-Dynamic HSE,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,0,349.5,3249.5,0.0,13.014780393893403,0-1
Dodge,Challenger,180000,R/T,2 door,Petrol,8,Sports Car,4 Seater,Left Hand,American Specs,8,449.5,4000.0,22500.0,10.778977123006351,7-10
BMW,X1,24000,Xdrive20i,4 door,Petrol,4,SUV,5 Seater,Left Hand,Korean Specs,4,149.5,1749.5,6000.0,11.283524879179666,4-6
MG,RX8,64000,Luxury,5+ doors,Petrol,6,SUV,,Left Hand,GCC Specs,6,,,10666.666666666666,10.87806606028079,4-6
Chevrolet,Traverse,149000,LT,5+ doors,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,15,249.5,3749.5,9933.333333333334,9.433563920090563,10+
GMC,Yukon,284000,XL Denali,4 door,Petrol,8,SUV,8 Seater,Left Hand,GCC Specs,7,449.5,4000.0,40571.42857142857,11.502885230075814,7-10
Lexus,RX-Series,0,RX 500h,5+ doors,Hybrid,4,SUV,5 Seater,Left Hand,Canadian Specs,3,349.5,2249.5,0.0,12.560247968016562,2-3
Honda,Pilot,200000,Touring,4 door,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,11,149.5,3249.5,18181.81818181818,10.292179440058462,10+
Toyota,Prado,0,Other,4 door,Hybrid,4,SUV,5 Seater,Left Hand,Other,2,249.5,2249.5,0.0,12.128116509451258,2-3
Genesis,GV80,8000,Other,4 door,Petrol,6,Coupe,,Left Hand,Korean Specs,2,449.5,,4000.0,12.425212191503038,2-3
Mitsubishi,Lancer,380000,GL,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,20,149.5,1749.5,19000.0,8.665785595466064,10+
Mitsubishi,Pajero,170000,GLS,4 door,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,18,249.5,2249.5,9444.444444444445,9.90353755128617,10+
BMW,5-Series,87000,530i M Sport,4 door,Petrol,6,Sedan,5 Seater,Left Hand,Japanese Specs,21,249.5,3249.5,4142.857142857143,10.12667110305036,10+
Mercedes-Benz,G-Class,36458,G 63 AMG,5+ doors,Petrol,8,Wagon,5 Seater,Left Hand,Japanese Specs,3,549.5,4000.0,12152.666666666666,13.407543823396258,2-3
Toyota,Prado,74200,Tx-l MID,5+ doors,Petrol,4,SUV,7 Seater,Left Hand,GCC Specs,8,149.5,2749.5,9275.0,11.652696102959752,7-10
Jeep,Cherokee,5683,Summit,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,1,249.5,3749.5,5683.0,12.53897064502647,0-1
Porsche,Cayenne,300000,S,4 door,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,14,449.5,4000.0,21428.571428571428,10.59665973278358,10+
Chevrolet,Malibu,180000,LTZ,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,8,149.5,2249.5,22500.0,10.239995502805316,7-10
JAC,JS4,12000,TURBO,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,149.5,1749.5,4000.0,10.596659732783579,2-3
Mitsubishi,Pajero,37800,Signature Edition,5+ doors,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,6,249.5,3749.5,6300.0,11.39640288460621,4-6
Kia,Sorento,46000,Other,4 door,Petrol,4,SUV,7 Seater,Left Hand,American Specs,5,249.5,2249.5,9200.0,11.089820688682371,4-6
Audi,A6,183000,45 TFSI,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,6,149.5,749.5,30500.0,11.19822841866684,4-6
Nissan,Maxima,246000,Other,4 door,Petrol,6,Sedan,5 Seater,Left Hand,American Specs,8,349.5,3249.5,30750.0,10.12667110305036,7-10
MG,Cyberster,0,Other,2 door,Electric,,Soft Top Convertible,,Left Hand,GCC Specs,3,549.5,,0.0,12.037659911047468,2-3
Nissan,Altima,158000,SR,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,5,249.5,2749.5,31600.0,10.985309671896765,4-6
Maserati,Grecale,30982,Modena,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,349.5,2249.5,10327.333333333334,12.366919427768636,2-3
Jeep,Wrangler,0,Rubicon,2 door,Petrol,4,SUV,4 Seater,Left Hand,GCC Specs,1,249.5,2249.5,0.0,12.230770136157428,0-1
Nissan,Altima,275000,Other,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,20,149.5,2249.5,13750.0,8.77971129020447,10+
Mercedes-Benz,GLC Coupe,7415,GLC 43 AMG 4Matic,4 door,Petrol,4,SUV,5 Seater,Left Hand,Other,2,449.5,1749.5,3707.5,12.574185427296197,2-3
Toyota,Rav 4,58000,EX,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,6,249.5,2749.5,9666.666666666666,11.050905878263569,4-6
MG,GT,10,Other,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,1,149.5,1749.5,10.0,10.91328684226798,0-1
Toyota,Camry,34000,,,,,,,,,1,,,34000.0,11.626263078808801,0-1
Mercedes-Benz,A-Class,280000,A 250,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,12,249.5,1749.5,23333.333333333332,9.898525260706313,10+
Nissan,Sunny,190000,Base,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,7,149.5,1749.5,27142.85714285714,9.75272280064639,7-10
Mitsubishi,L200,137000,Double Cab,4 door,Petrol,4,Pick Up Truck,5 Seater,Left Hand,GCC Specs,15,149.5,1749.5,9133.333333333334,10.064798252418376,10+
Toyota,Previa,275281,Other,4 door,Petrol,4,Van,7 Seater,Left Hand,GCC Specs,9,149.5,2249.5,30586.777777777777,10.545367754151744,7-10
Land Rover,Range Rover Sport,55000,SVR,4 door,Petrol,8,SUV,4 Seater,Left Hand,American Specs,4,549.5,4000.0,13750.0,12.384223015005311,4-6
Nissan,Pathfinder,230000,Platinum,4 door,Petrol,6,SUV,8 Seater,Left Hand,American Specs,12,249.5,3249.5,19166.666666666668,9.90353755128617,10+
Changan,Uni-V,18500,Limited,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,2,249.5,1749.5,9250.0,10.91328684226798,2-3
MG,RX5,115000,Luxury,4 door,Petrol,4,Crossover,5 Seater,Left Hand,GCC Specs,4,149.5,,28750.0,10.53212287826962,4-6
Audi,Q3,170000,S-line,4 door,Petrol,,SUV,,Left Hand,GCC Specs,11,,,15454.545454545454,9.94755228369823,10+
Land Rover,Range Rover Sport,164405,Supercharged,5+ doors,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,13,549.5,4000.0,12646.53846153846,10.32551474894327,10+
Polestar,2,18900,Other,4 door,Electric,,Sedan,5 Seater,Left Hand,GCC Specs,3,249.5,,6300.0,11.19822841866684,2-3
GMC,Yukon,220000,Denali,4 door,Petrol,8,SUV,7 Seater,Left Hand,GCC Specs,9,,4000.0,24444.444444444445,11.127277689932466,7-10
Lexus,LS-Series,149000,LS 460,4 door,Petrol,8,Sedan,5 Seater,Left Hand,GCC Specs,13,449.5,4000.0,11461.538461538461,11.429554725537322,10+
Toyota,Prado,195000,Tx-l MID,4 door,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,13,649.5,3249.5,15000.0,11.050905878263569,10+
Mitsubishi,Lancer EX,167871,Other,4 door,Petrol,4,Sedan,4 Seater,Left Hand,GCC Specs,12,349.5,1249.5,13989.25,10.085850775128717,10+
Jaguar,E-Pace,15140,SE,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,2,249.5,2249.5,7570.0,11.915058360753719,2-3
Mercedes-Benz,GLE Coupe,45000,GLE 53 AMG,4 door,Petrol,6,SUV,5 Seater,Left Hand,American Specs,4,449.5,,11250.0,12.409017571151187,4-6
MINI,Cooper,81300,John Cooper Works,3 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,8,249.5,2249.5,10162.5,11.05881093278828,7-10
Chevrolet,Camaro,6000,SS,2 door,Diesel,6,Coupe,5 Seater,Left Hand,American Specs,59,349.5,4000.0,101.69491525423727,12.487488878546143,10+
Chery,Arrizo 5,0,Comfort,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,0,149.5,1749.5,0.0,10.62135173563291,0-1
Hyundai,Tucson,97000,Comfort,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,4,149.5,2249.5,24250.0,11.002116507732016,4-6
Lexus,GS-Series,200000,GS 350 F Sport,4 door,Petrol,6,Sedan,,Left Hand,American Specs,6,249.5,,33333.333333333336,11.289794413577894,4-6
Dodge,Challenger,133000,SXT,2 door,Petrol,6,Coupe,4 Seater,Left Hand,American Specs,7,249.5,3749.5,19000.0,10.59665973278358,7-10
Porsche,Carrera / 911,50,GT3,2 door,Petrol,6,Sports Car,2 Seater,Left Hand,European Specs,1,549.5,4000.0,50.0,13.901689171636098,0-1
Toyota,Rav 4,0,Adventure,4 door,Petrol,5,SUV,5 Seater,Left Hand,GCC Specs,1,249.5,,0.0,11.951186847493476,0-1
MG,HS,169000,30T,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,6,249.5,249.5,28166.666666666668,10.819798284210286,4-6
