brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,log_price,age_bucket
Land Rover,Range Rover,105000,Supercharged,4 door,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,10,449.5,,10500.0,11.599112335481124,7-10
Land Rover,Defender,55000,110 P525,4 door,Petrol,8,SUV,,Left Hand,GCC Specs,2,549.5,4000.0,27500.0,12.945628585536271,2-3
Porsche,Carrera / 911,96440,Carrera,2 door,Petrol,6,Sports Car,4 Seater,Left Hand,GCC Specs,13,349.5,3249.5,7418.461538461538,12.30134191540679,10+
Toyota,Tundra,69475,Crewmax 1794 Edition,4 door,Petrol,8,Pick Up Truck,5 Seater,Left Hand,American Specs,12,349.5,4000.0,5789.583333333333,11.19822841866684,10+
BMW,M4,4000,Competition xDrive M-Kit,2 door,Petrol,6,Coupe,4 Seater,Left Hand,Korean Specs,2,549.5,3249.5,2000.0,12.860351650788068,2-3
Audi,Q7,87000,45 TFSI Quattro,4 door,Petrol,4,SUV,7 Seater,Left Hand,GCC Specs,4,249.5,2249.5,21750.0,11.964007453736912,4-6
Dodge,Challenger,98800,R/T Scat Pack,2 door,Petrol,8,Coupe,5 Seater,Left Hand,American Specs,6,449.5,4000.0,16466.666666666668,11.608244735642321,4-6
Mercedes-Maybach,S-Class,59871,S650,4 door,Petrol,12,Sedan,4 Seater,Left Hand,GCC Specs,11,549.5,4000.0,5442.818181818182,12.301387370778713,10+
Volkswagen,Tiguan,43580,R-Line Black Edition,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,249.5,2249.5,14526.666666666666,11.58989576532275,2-3
Nissan,Sentra,20993,SV,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,4,149.5,1249.5,5248.25,10.819798284210286,4-6
GMC,Yukon,0,Denali,4 door,Petrol,8,SUV,7 Seater,Left Hand,GCC Specs,1,449.5,4000.0,0.0,12.598118111678868,0-1
Rox,1,0,6-Seat,5+ doors,Hybrid,4,SUV,6 Seater,Left Hand,GCC Specs,0,449.5,,0.0,12.59473402514672,0-1
BMW,X5,108394,xDrive40i M Sport,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,6,,3249.5,18065.666666666668,11.827736204810263,4-6
Nissan,Sunny,49000,SV,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,4,149.5,1749.5,12250.0,10.165890277802454,4-6
