brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,age_bucket,price_aed
Alfa Romeo,GIULIETTA,52026,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,10405.2,4-6,44950.0
Alfa Romeo,GIULIETTA,57731,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,11546.2,4-6,44950.0
Alfa Romeo,GIULIETTA,31510,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,6302.0,4-6,44950.0
Alfa Romeo,GIULIETTA,45133,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,9026.6,4-6,44950.0
Alfa Romeo,GIULIETTA,88000,Quadrifoglio,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,11,249.5,1749.5,8000.0,10+,23000.0
Alfa Romeo,Stelvio,85000,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,12142.857142857143,7-10,68000.0
Alfa Romeo,GIULIETTA,120000,Premium,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,8,149.5,1249.5,15000.0,7-10,33500.0
Alfa Romeo,GIULIETTA,60000,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,12000.0,4-6,40000.0
Alfa Romeo,Stelvio,25000,Super,4 door,Petrol,6,Crossover,5 Seater,Left Hand,GCC Specs,6,449.5,3249.5,4166.666666666667,4-6,78000.0
Alfa Romeo,Stelvio,53065,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,249.5,2249.5,17688.333333333332,2-3,139990.0
Alfa Romeo,Stelvio,119313,Super,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,249.5,2249.5,14914.125,7-10,44995.0
Alfa Romeo,GIULIETTA,100783,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,7,249.5,1749.5,14397.57142857143,7-10,32200.0
Alfa Romeo,Stelvio,63922,Super,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,9131.714285714286,7-10,75000.0
Alfa Romeo,Stelvio,93917,First Edition,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,249.5,2249.5,11739.625,7-10,56000.0
Alfa Romeo,Stelvio,87771,Super,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,249.5,2249.5,10971.375,7-10,69000.0
Alfa Romeo,GIULIETTA,45102,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,9020.4,4-6,49000.0
Alfa Romeo,GIULIETTA,91000,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,18200.0,4-6,39900.0
Alfa Romeo,Stelvio,198000,First Edition,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,249.5,2249.5,24750.0,7-10,55000.0
Alfa Romeo,Stelvio,58179,Super,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,6,249.5,2249.5,9696.5,4-6,85000.0
Alfa Romeo,GIULIETTA,76255,Premium,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,11,149.5,1249.5,6932.272727272727,10+,18900.0
Alfa Romeo,GIULIETTA,81841,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,16368.2,4-6,39100.0
Alfa Romeo,Giulia,34161,Veloce,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,3,249.5,2249.5,11387.0,2-3,155000.0
