brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,log_price,age_bucket,raw_price
Abarth,695,23500,Turismo,2 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,3,149.5,1249.5,7833.333333333333,11.156250521031495,2-3,69998
Acura,MDX,65000,Sport Package,4 door,Petrol,6,SUV,6 Seater,Left Hand,Canadian Specs,3,349.5,3249.5,21666.666666666668,12.031725210748633,2-3,167999
Acura,RSX/Integra,288000,Other,2 door,Petrol,4,Coupe,4 Seater,Left Hand,American Specs,21,149.5,,13714.285714285714,10.12667110305036,10+,25000
AITO,M7,0,Other,5+ doors,Hybrid,4,SUV,6 Seater,Left Hand,Other,2,449.5,,0.0,12.180759965737863,2-3,195000
Alfa Romeo,GIULIETTA,52026,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,10405.2,10.713328286593352,4-6,44950
Alfa Romeo,GIULIETTA,57731,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,11546.2,10.713328286593352,4-6,44950
Alfa Romeo,GIULIETTA,31510,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,6302.0,10.713328286593352,4-6,44950
Alfa Romeo,GIULIETTA,45133,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,9026.6,10.713328286593352,4-6,44950
Alfa Romeo,GIULIETTA,88000,Quadrifoglio,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,11,249.5,1749.5,8000.0,10.043292972227004,10+,22999
Alfa Romeo,Stelvio,85000,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,12142.857142857143,11.127277689932466,7-10,67999
Alfa Romeo,GIULIETTA,120000,Premium,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,8,149.5,1249.5,15000.0,10.4193305681139,7-10,33499
Alfa Romeo,Stelvio,25000,Super,4 door,Petrol,6,Crossover,5 Seater,Left Hand,GCC Specs,6,449.5,3249.5,4166.666666666667,11.264476926102368,4-6,78000
Alfa Romeo,Stelvio,53065,Veloce,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,3,249.5,2249.5,17688.333333333332,11.84933341381074,2-3,139989
Alfa Romeo,Stelvio,119313,Super,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,249.5,2249.5,14914.125,10.714328875912717,7-10,44995
Alfa Romeo,GIULIETTA,100783,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,7,249.5,1749.5,14397.57142857143,10.379752786950895,7-10,32199
Alfa Romeo,Stelvio,63922,Super,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,7,249.5,2249.5,9131.714285714286,11.225256725762891,7-10,74999
Alfa Romeo,Stelvio,93917,First Edition,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,249.5,2249.5,11739.625,10.933124826700707,7-10,56000
Alfa Romeo,Stelvio,87771,Super,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,8,249.5,2249.5,10971.375,11.141876276228,7-10,68999
Alfa Romeo,GIULIETTA,45102,Veloce,5+ doors,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,9020.4,10.799595985047786,4-6,49000
Alfa Romeo,GIULIETTA,91000,Veloce,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,5,249.5,1749.5,18200.0,10.594156665220533,4-6,39899
