make
Abarth
AC
Acura
Adam
Adler
Aito
Aiways
Aixam
Alfa Romeo
Alpina
Alpine
AM General
Ambertruck
AMC
Apal
Arcfox
Ariel
Aro
Asia
Aston Martin
Auburn
Audi
Aurus
Austin
Austin Healey
Auto Union
Autobianchi
Avatr
BAIC
Bajaj
Baltijas Dzips
Baojun
Batmobile
BAW
Belgee
Bentley
Bertone
Bestune
Bilenkin
Bio auto
Bitter
Blaval
BMW
Borgward
Brabus
Brilliance
Bristol
Bufori
Bugatti
Buick
BYD
Byvin
Cadillac
Callaway
Carbodies
Caterham
Chana
Changan
ChangFeng
Changhe
Chery
Chevrolet
Chrysler
Ciimo (DongFeng-Honda)
Citroen
Cizeta
Coda
Coggiola
Cord
Cowin
Cupra
Dacia
Dadi
Daewoo
Daihatsu
Daimler
Dallara
Datsun
Dayun
De Tomaso
Deco Rides
Delage
DeLorean
Denza
Derways
DeSoto
DKW
Dodge
DongFeng
DongFeng Forthing
Doninvest
Donkervoort
DR
DS
DW Hower
E-Car
Eagle
Eagle Cars
Enovate (Enoreve)
Eonyx
Everus
Evolute
Excalibur
EXEED
Facel Vega
FAW
Ferrari
Fiat
Fisker
Flanker
Ford
Foton
Franklin
FSO
FSR
Fuqi
GAC
GAC Aion
Geely
Genesis
Geo
GMA
GMC
Goggomobil
Gonow
Gordon
GP
Great Wall
Hafei
Haima
Hanomag
Hanteng
Haval
Hawtai
Hedmos
Heinkel
Hennessey
Hindustan
HiPhi
Hispano-Suiza
Holden
Honda
Hongqi
Horch
Hozon
HSV
Huaihai (Hoann)
HuangHai
Huazi
Hudson
Humber
Hummer
Hycan
Hyperion
Hyundai
iCar
iCaur
IM Motors (Zhiji)
Ineos
Infiniti
Innocenti
International
Invicta
Iran Khodro
Isdera
Isuzu
IVECO
JAC
Jaecoo
Jaguar
Jeep
Jensen
Jetour
Jetta
Jiangnan
Jidu
Jinbei
JMC
JMEV
Jonway
Kaiyi
Karma
Kawei
KGM
Kia
Knewstar
Koenigsegg
KTM AG
KYC
LADA (VAZ)
Lamborghini
Lancia
Land Rover
Landwind
Leapmotor
Letin
LEVC
Lexus
Liebao Motor
Lifan
Ligier
Lincoln
Lingxi
Livan
LiXiang
Logem
Lotus
LTI
Lucid
Luxeed
Luxgen
Lynk & Co
M-Hero
Maextro
Mahindra
Maple
Marcos
Marlin
Marussia
Maruti
Maserati
Matra
Maxus
Maybach
Mazda
McLaren
Mega
Mercedes-Benz
Mercury
Merkur
Messerschmitt
Metrocab
MG
Micro
Microcar
Minelli
MINI
Mitsubishi
Mitsuoka
Mobilize
Morgan
Morris
Nash
Nevo
Nio
Nissan
Noble
Nordcross
Oldsmobile
OMODA
Opel
ORA
Orange
Osca
Oshan
Oting
Overland
Packard
Pagani
Panoz
Perodua
Peugeot
PGO
Piaggio
Pierce-Arrow
Plymouth
Polar Stone (Jishi)
Polestar
Pontiac
Porsche
Premier
Proton
PUCH
Puma
Punk
Qiantu
Qingling
Qoros
Qvale
Rabdan
Radar
Radford
RAM
Ravon
Rayton Fissore
Reliant
Renaissance
Renault
Renault Samsung
Rezvani
Rimac
Rinspeed
Rising Auto
Rivian
Roewe
Rolls-Royce
Ronart
Rossa
Rover
Rox
Saab
SAIC
Saipa
Saleen
Sandstorm
Santana
Saturn
Scion
Scout
Sears
SEAT
Seres
Shanghai Maple
Shangjie
Shelby
ShuangHuan
Simca
Skoda
Skywell
Skyworth
Smart
Solaris
Sollers
Soueast
Spectre
Spyker
SsangYong
Stelato
Steyr
Studebaker
Subaru
Suzuki
SWM
Talbot
Tank
TATA
Tatra
Tazzari
Tenet
Tesla
Thairung
Think
Tianma
Tianye
Tofas
Toyota
Trabant
Tramontana
Triumph
Trumpchi (GAC)
TVR
Ultima
Vauxhall
Vector
Venturi
Venucia
VGV
VinFast
Volga
Volkswagen
Volvo
Vortex
Voyah
VUHL
W Motors
Wanderer
Wartburg
Weltmeister
Westfield
WEY
Wiesmann
Willys
Wuling
Xcite
XEV
Xiaomi
Xin Kai
Xpeng
Yema
Yipai
Yulon
Zastava
Zeekr
Zenos
Zenvo
Zhido
Zibar
Zotye
ZX
